sample,dataset,fastq_1,fastq_2
Dhiman13,Dhiman,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268291_ERR4319924_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268291_ERR4319924_2.fastq.gz
Dhiman14,Dhiman,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268292_ERR4319925_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268292_ERR4319925_2.fastq.gz
Dhiman15,Dhiman,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268293_ERR4319926_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268293_ERR4319926_2.fastq.gz
Dhiman16,Dhiman,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268294_ERR4319927_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268294_ERR4319927_2.fastq.gz
Dhiman17,Dhiman,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268295_ERR4319928_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268295_ERR4319928_2.fastq.gz
Dhiman18,Dhiman,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268296_ERR4319929_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268296_ERR4319929_2.fastq.gz
Dhiman19,Dhiman,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268297_ERR4319930_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268297_ERR4319930_2.fastq.gz
Dhiman20,Dhiman,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268298_ERR4319931_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268298_ERR4319931_2.fastq.gz
Dhiman21,Dhiman,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268299_ERR4319932_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268299_ERR4319932_2.fastq.gz
Dhiman22,Dhiman,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268300_ERR4319933_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268300_ERR4319933_2.fastq.gz
Dhiman23,Dhiman,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268301_ERR4319934_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268301_ERR4319934_2.fastq.gz
Dhiman24,Dhiman,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268302_ERR4319935_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268302_ERR4319935_2.fastq.gz
Dhiman25,Dhiman,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268303_ERR4319936_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268303_ERR4319936_2.fastq.gz
Dhiman26,Dhiman,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268304_ERR4319937_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268304_ERR4319937_2.fastq.gz
Dhiman27,Dhiman,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268305_ERR4319938_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268305_ERR4319938_2.fastq.gz
Barzadd01,Barzadd,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178671_SRR14860942_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178671_SRR14860942_2.fastq.gz
Barzadd02,Barzadd,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178672_SRR14860941_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178672_SRR14860941_2.fastq.gz
Barzadd03,Barzadd,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178673_SRR14860940_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178673_SRR14860940_2.fastq.gz
Barzadd04,Barzadd,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178674_SRR14860939_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178674_SRR14860939_2.fastq.gz
Barzadd05,Barzadd,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178675_SRR14860938_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178675_SRR14860938_2.fastq.gz
