Genes
PKN2
PAPSS1
METTL17
ARL14EP
SELENOT
DNAJC9
PBDC1
RCBTB1
C1GALT1
PPP1R18
PGAM5
ARHGEF7
JKAMP
GHITM
SNX1
VPS35
JMJD6
RMND5B
MTIF2
EED
NIT1
CNIH4
BHLHB9
MCL1
LETM1
ANKRD49
CNDP2
HACE1
CAPN2
FASTKD1
BIN3
SUGP1
SMARCE1
LETMD1
GOLGA5
MICAL1
ING1
TPR
MOB2
SNAP23
UTP14A
CCDC134
ADD1
PMPCA
ZBTB2
TOR3A
MRTO4
HAUS4
LRCH1
HNRNPUL2
ABHD5
NXN
SRSF11
SCYL2
CRLF3
HACD2
MFSD10
NDUFAF6
CCDC84
EIF1B
SMC6
CF062_MOUSE
RAB1B
IFITM2
SMIM20
PRMT1
SCYL1
ZNF770
PHF5A
CD164
NFKB1
CETN3
COPA
MPHOSPH10
ATF2
RHOT1
FUNDC1
RPL35A
ERBB2
SPRYD3
THAP12
DNM1L
CLN6
BCCIP
KAT8
MAP4K4
CHD8
MKLN1
PUF60
MYO9B
PDXDC1
SLC18B1
YWHAQ
ZZZ3
TRAF7
ARPC2
KIN
BCR
CBX1
PROSC
UVSSA
PPA2
SHARPIN
CTDP1
STK39
SIN3A
STX16
NAMPT
SCAMP5
SLC35A4
FBXO6
USP3
ANXA7
COG6
AKT2
FRA10AC1
PEX19
TM2D3
HOXD8
WDR70
TMEM165
TMED10
HMG20B
AP2A2
ATP1A1
NKIRAS1
WDR33
NUP54
CLDND1
HDDC2
TMEM184C
IMMT
KDM4A
ARFGAP2
ZBTB17
FBXO11
TMEM209
SPART
MGME1
GTF2IRD1
EWSR1
OGFOD3
NPRL2
EFCAB7
YWHAH
ZBTB25
VPS16
ZCCHC8
EIF4A3
STRIP1
PPP5C
ZNF189
FBXL6
IGBP1
GNL2
AMPD2
SSB
SLC25A40
FAF2
PACSIN2
BROX
PGGT1B
SGSM3
TUFM
RNF40
ATP5B
HNRNPA2B1
SLC15A4
MRPL3
RABGGTA
SHQ1
STUB1
LARS
MLLT10
MEIS2
LIMK2
HDGF
PHGDH
GTF2H3
SEC24C
KBTBD2
ASNA1
AP2M1
HDHD5
SEC14L1
REXO4
ERP44
RNF114
CCDC43
PEX14
B4GALT4
KPNA6
CLK3
BRMS1
GPATCH3
SAV1
NDUFC2
KLC4
PPFIA1
RABEPK
RNF11
NFU1
NAA40
CORO1B
DRG2
RPS6KA1
SNAPC1
CU059_MOUSE
PACS1
WTAP
ARL6IP5
CCT3
GP1BA
POLH
EMC8
RELL1
HPS5
COMT
BLVRA
TCHP
MAP2K3
ATE1
ALKBH3
NAA35
MED21
ASH2L
UBE2G1
UBXN6
BLMH
MDH2
HDGFL2
TCAF1
GGA2
NET1
ERLIN2
TPP2
ARFIP1
ALG8
EIF4E
LARS2
NXF1
RPIA
CPSF3
SF3A3
EPB41L2
SMARCD1
PTGES3
RPL27
CEBPZ
RPN2
TBRG4
EIF2S1
CDK5RAP1
FOXO4
ARL2
06-Mar
RPS4
CASK
PPIG
EXOSC3
GTF3C5
SH3RF1
PTPN9
RPS24
PPP2R3C
GAS8
RARS
PUDP
LDLRAP1
CDK9
MEA1
EDC3
MECR
KLF6
STIM2
PSMD2
WDR41
KRI1
UBE2J1
SLC10A3
PIGG
DDX39B
DNAJB12
STX6
TEX264
PLEKHA5
CCDC58
USP8
BAG4
DLG3
OTUD7B
DDX10
GSR
CASP7
UQCRC2
FAM98B
XPNPEP1
DGCR2
DUSP19
CREBRF
U2SURP
ACTR5
SLC25A13
LYPLA2
PSME1
NIPA2
MIPOL1
IP6K2
PDHA1
RPAP3
USP7
DYNC1LI2
COMMD8
WDR91
BCAP29
PSMG2
NOL7
ACAP3
CWC27
EFTUD2
ZNF226
HEBP1
RNF149
FBXL5
IDH3G
RABGAP1
USP33
ATPAF2
ZRANB1
SPATS2
MED7
ERI1
ZNF212
KHDRBS1
GRIPAP1
TAX1BP3
ARPC1B
PMP22
SRP68
DPM1
FBXO34
HNRNPH2
SREK1IP1
07-Mar
TFB2M
OXSR1
PNO1
CDR2
VRK3
RO31_XENLA
NDUFA9
CG050_RAT
ZNF512
CPT1C
KRIT1
EIF3L
ARMC8
MED15
TUBA4A
TLE3
GEMIN2
VEZT
TANK
RNF13
CLCC1
TTC14
GLS
SUPT5H
ZFP13
MIA2
ELOVL1
AGK
PSMC4
RAD23A
CLIC4
RHOG
YKT6
APOPT1
RBM17
CS044_MOUSE
MOAP1
PSMC3
AP1G1
NFRKB
TUT1
GORASP1
TYRO3
NWC
DDX52
MED19
HK1
MRPS5
NSF
RAE1
SEC63
TTC28
ITGB1BP1
DARS
ACP6
EMC7
ZMYND11
TAF12
HNRNPM
SSR3
OTUD6B
CHRAC1
WDR59
CARMIL1
HAUS2
POLG
CYTH2
STRN3
ATP11B
ME1
ISCA2
PPP6C
EXOG
PCYT1A
SLC27A4
LBR
MMADHC
OSGEP
USP15
FOPNL
SNRPC
TUBGCP3
IREB2
RUNDC1
INPPL1
CHORDC1
MAP7D1
ALDH9A1
BTBD9
RNF121
CSNK2B
MARK2
MARK3
TMEM230
MLF2
SMN1
PTPDC1
RPS9
RILPL1
RPL11
RPS3
RGS19
AGPAT5
HECTD3
UBR3
OSBP
MRPS33
GUCD1
HELQ
CCNY
SLC35F5
NOL11
COG7
HDAC6
PDE7A
UBA1
ABHD16A
CASC4
PALM
NMNAT3
OST4
TRMU
RIT1
MORC2A
RAB12
BRK1
PLCG1
TPD52L2
FAM114A2
DZIP1L
TDRD3
ARL5A
LMNA
CEP57
ATP6V0D1
DDX55
RPLP0
GPALPP1
GMDS
MRPS30
STIP1
HERC4
TMEM263
COQ10A
KCTD7
KRCC1
ETF1
FARS2
SEC23IP
PRPS2
RPAP2
GATA6
MOB3A
USP14
DRG1
RCC2
AK3
CERS2
PRORSD1
UXT
GPANK1
NOMO1
DOK1
ARL15
N6AMT1
TRAPPC2
RAB11B
RPS2
MED20
GOSR2
TIMM44
SRRD
GTF2H2
ADAT1
CCAR1
CALD1
NUP88
PPIL4
PRR14
SLC25A20
TNKS1BP1
ANKRD46
GAK
SLC20A2
GTF2A1
ARAP1
ATG13
MLH1
ATMIN
AKAP8
IRF2
CPSF7
ENSA
RCAN1
SDAD1
ABCF3
GGA1
VHL
ZNF410
CRY1
DEGS1
TAF9
CYHR1
ATPAF1
KPNA3
TIPRL
PAPOLA
WAPL
ITSN1
NSD1
ACTN1
DHX35
SARS
BRD3
PPA1
NIPSNAP2
UGP2
PPP2CB
ITPK1
EIF3F
AXIN1
TSPAN6
PSMB5
STXBP3
PHAX
RHOC
MTAP
MSH2
MTO1
DERL2
BUD13
YTHDF3
EIF2B1
SRD5A3
PGK1
CEBPZOS
TRAPPC12
NAXD
MRPS15
FEM1B
PPP4R3B
MBOAT1
ZNF326
ECI2
PRMT9
IRAK4
ARHGAP17
DCUN1D1
ZNF146
PEX1
CEP57L1
RARS2
PCBP3
ZBTB1
USP5
PPM1F
ANAPC5
SMAP1
PPP3R1
SSBP1
PUM1
DCTN4
EXOC8
AGPAT1
UXS1
GTF3C6
ICK
GABARAPL2
CRAT
KATNA1
NOP2
CCDC47
DCAF5
OFD1
LITAF
CEP72
SARNP
MOB3C
SAP30L
ACAD9
PRCC
ZFAND1
RCN1
BLZF1
TUBGCP4
TRAPPC8
CPT2
SFT2D1
DDX1
MFSD14A
ADIPOR2
WAC
URGCP
C6ORF106
ETS1
CCDC174
BCL2L2
EIF3D
NOL12
SPIN1
CHMP5
FCF1
ZNRF1
GGA3
CCDC126
ECHS1
MTERF2
ABHD12
ZNF451
FAR1
CPSF6
PIGV
PDCD10
CQ062_RAT
RFWD3
RSF1
NCOA5
CS
FGFR1OP
ARFIP2
KIF5B
TECPR2
UBL3
UBE2D4
POLDIP3
SHISA5
NKAP
IST1
COMMD4
CSTF3
CDK13
RPAC2_HUMAN
AP3B1
TPM3
KCNAB2
APBB1IP
NTHL1
TSN
PIAS3
PAOX
TMEM185A
AP1M1
PELO
CCT2
SLU7
POLR3H
EIF3H
YIPF1
VAMP4
SEC23A
SMNDC1
PHF13
PSMD10
CDC37
HSBP1
GSTT2
MRM3
RPL10A
TKT
RRP15
GRAMD2B
10-Sep
SUB1
SETDB1
NDOR1
SUMF1
ARHGEF2
IPO7
SLC30A4
CCND3
MRPL47
RAD1
MIC1
CMIP
UBAP2L
SAE1
LARP1B
CCT8
IARS2
SLC22A5
PTPN11
INO80E
NARS2
TRIOBP
PRR13
ALDOA
NSRP1
EIF4H
PUS7
PAWR
RBBP4
ARL10
RANBP3
HNRNPC
KLHL7
LAP3
MAPK6
COIL
RHBDD2
MRPL22
RABGEF1
USP47
OXA1L
R3HDM2
DENND1B
TRIM3
GCH1
DDX56
ATP6V0C
SH3GLB1
THOC7
PPIA
STX1A
CDK5RAP3
UBE2O
PTDSS2
AGAP3
TTI2
FAM177A1
DDB1
BUD31
PIK3R2
CKAP4
SRSF4
GSKIP
CSNK2A1
FUNDC2
KIAA1522
PPIL1
PIGU
